Possible Vaccine Adverse Events,Source Title,Source Author,Source Date,Source Additional Information,Source URL
1p36 deletion syndrome,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
2-Hydroxyglutaric aciduria,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
5'nucleotidase increased,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Acoustic neuritis,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Acquired C1 inhibitor deficiency,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Acquired epidermolysis bullosa,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Acquired epileptic aphasia,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Acute cutaneous lupus erythematosus,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
Acute disseminated encephalomyelitis,5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
"Acute encephalitis with refractory, repetitive partial seizures",5.3.6 Cumulative Analysis of Post-Authorization Adverse Event Reports of PF-07302048 (BNT162B2) Received Through 28-Feb-2021 Report,Worldwide Safety Pfizer,2021-04-30,Document was released as part of a Freedom of Information Act (FOIA) lawsuit against the United States Food and Drug Administration (FDA) filed by the Public Health and Medical Professionals for Transparency non-profit organization,https://phmpt.org/wp-content/uploads/2021/11/5.3.6-postmarketing-experience.pdf
